Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
€99900,Rue de Herve 70,1,B,155,No,0,0,0,16,2,0,As new,0,1,1,0,1,Installed,Gas,8,3
€99900,Rue de Herve 70,1,B,155,No,0,0,0,16,2,0,As new,0,1,1,0,1,Installed,Gas,8,3
€275000,Rue de Herve 70,3,B,104,No,0,0,225,9,3,0,Just renovated,0,2,0,Yes,2,0,0,10667328,4610
€275000,Rue de Herve 70,3,B,104,No,0,0,225,9,3,0,Just renovated,0,2,0,Yes,2,0,0,4610,20
€249000,Generaal Lemanlaan 202,2,C,237,No,0,20,0,25,2,1977,As new,0,1,0,Yes,1,Hyper equipped,Gas,10667325,8310
€,"Fruithoflaan, 1",2,C,247,0,0,5,0,33,2,1957,To be done up,0,1,0,0,1,Semi equipped,Fuel oil,10667321,2600
€121000,Rue de Tourcoing 102,0,C,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9582373,7700
€229000,"Fruithoflaan, 1",2,B,110,0,0,13,0,35,2,1968,Good,0,1,0,0,1,Installed,Gas,10667319,2600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10587464,8520
€1490000,Casinostraat 3,2,B,127,No,0,0,0,0,2,2010,As new,0,1,0,No,2,Installed,0,10667317,9140
€269000,Casinostraat 3,1,E,473,No,Yes,0,90,40,2,0,To be done up,0,1,0,No,1,0,Gas,10667316,9140
€379500,Casinostraat 3,2,B,123,No,Yes,0,0,28,2,2014,Good,0,1,0,No,1,Installed,0,10667315,9140
€339000,Stationsstraat 171,3,D,389,No,0,0,718,0,4,1971,Good,0,1,0,No,1,Not installed,0,10667313,9880
€750000,Knokkestraat 24,2,B,199,No,0,0,0,0,2,0,0,0,2,0,No,2,0,0,10667312,8300
€360000,Kerstraat 48,2,D,340,No,0,68,0,28,2,1999,Good,0,1,0,No,2,Installed,Electric,10667311,8430
€800000,Langestraat 62,5,A,94,No,0,0,8866,40,4,2002,Good,0,2,0,No,2,Installed,0,10667310,8640
€229000,"Kortrijksesteenweg, 390 bus 001",0,B,122,0,0,0,0,0,2,2010,0,0,0,1,0,1,Installed,Gas,10667309,9000
€647500,Driehoeksplein 1,2,B,139,No,0,0,0,0,2,1985,0,0,1,0,No,0,0,0,10606265,8300
€195000,Leopold 1 laan  87,1,B,108,No,0,0,0,0,2,1984,Good,0,1,0,No,1,0,0,10667306,8000
€265000,Heidestatiestraat 22,3,F,1064,0,Yes,0,910,0,3,1957,To renovate,0,1,0,0,1,Semi equipped,0,10667305,2990
€,Leopold 1 laan  87,2,A,80,No,0,0,0,35,2,2012,Good,0,1,0,No,2,Installed,0,10667304,8310
€420000,Heidestatiestraat 22,3,Not specified,Not specified,0,0,0,966,40,4,2023,0,0,1,0,0,2,Installed,0,10667303,2990
€319000,Sint-Denijslaan 1,3,D,353,No,0,0,55,21,2,1932,To be done up,0,1,0,0,1,USA semi equipped,Gas,10667297,9000
€129500,Franchommelaan 90,2,C,281,No,0,0,0,27,2,0,Good,0,1,0,Yes,1,0,0,10667295,8370
€399000,Rue de Battice 46,4,D,302,No,0,30,1107,21,4,1992,Good,0,2,1,Yes,2,Installed,Gas,4800,20
€259000,Wapenplein 9,2,B,118,No,0,15,0,28,2,1978,Good,0,1,0,No,1,0,0,10598559,8370
€239000,Avenue de Laeken 29,2,E,258,No,Yes,0,0,27,2,0,Good,0,1,0,0,1,0,0,10667288,1090
€209000,Place des Tilleuls 48,2,E,387,No,0,0,1064,0,4,0,Good,0,1,0,Yes,0,0,Gas,10667287,5300
€336000,Chaussée de Marche 398,8,D,328,0,0,0,829,0,4,1976,To renovate,0,2,0,0,2,Semi equipped,Gas,10667286,5100
€1195000,Chaussée de Marche 398,10,D,302,0,0,0,14434,0,4,0,Good,0,5,0,0,6,Installed,Fuel oil,89,3
€169000,Leopoldlaan 85,4,E,419,No,0,0,92,0,2,0,As new,0,0,0,0,2,Hyper equipped,Gas,10667282,8430
€310000,Rue des Etangs 28,5,E,397,No,0,0,600,35,0,0,Good,0,1,1,No,1,Installed,Electric,10667280,6790
€229000,Grand Place 5,2,D,325,No,0,0,239,0,0,0,0,0,1,0,No,2,Installed,Fuel oil,10667273,6792
€295000,Rue des Etangs 28,4,E,353,No,0,0,700,18,0,0,To renovate,0,1,1,No,1,0,Fuel oil,10667266,6720
€370000,Rue des Etangs 28,4,B,95,No,0,21,0,24,0,1950,As new,0,1,0,No,1,Installed,Fuel oil,10667263,6760
€269000,Rue des Etangs 28,4,E,421,No,0,0,2130,30,0,1960,To renovate,0,0,1,No,1,0,Fuel oil,10667262,6760
€316000,Rue des Etangs 28,3,Not specified,Not specified,No,0,21,0,0,3,2012,Good,0,1,0,No,1,0,Gas,10667261,57480
€100000,Rue des Etangs 28,0,Not specified,Not specified,No,0,0,0,0,0,0,As new,0,1,0,No,0,0,Electric,10667260,55600
€335000,Berkenlaan 44,2,C,237,0,0,4,0,0,2,0,Just renovated,0,1,0,0,1,Installed,Gas,10667258,2610
€475000,"Roterijstraat, 202",5,D,353,0,Yes,0,674,0,2,0,To be done up,0,0,0,0,0,Installed,Gas,10667249,8540
€175000,"Rue des Minières, 65",4,D_C,Not specified,0,0,10,78,0,2,1904,Good,0,0,2,0,3,0,Gas,10562613,4800
€265000,"Roterijstraat, 202",3,D,379,0,0,0,497,0,4,1948,Good,0,1,0,0,1,Installed,0,10667248,8790
€475000,"Rue de la Station, 64",4,Not specified,Not specified,0,Yes,0,1170,0,4,0,0,0,1,1,0,2,0,Fuel oil,10667247,5640
€475000,"Rue de la Station, 64",4,Not specified,Not specified,0,Yes,0,1170,0,4,0,0,0,1,1,0,2,0,Fuel oil,10667246,5640
€190000,"Rue de la Station, 64",3,Not specified,Not specified,0,Yes,0,460,0,0,0,0,0,1,0,0,1,0,0,10667245,5060
€165000,"Rue de la Station, 64",3,Not specified,Not specified,0,Yes,0,0,0,2,0,0,0,1,0,0,1,0,Pellet,10667244,5190
€370000,Mechelsesteenweg 382,3,F,707,0,0,0,265,0,3,1920,To be done up,0,2,0,0,2,Semi equipped,Gas,10667243,3020
€750000,Rue de l'Esplanade 11,9,D,292,0,0,0,1837,37,0,1975,Good,0,2,2,0,4,Installed,Fuel oil,10385794,7804
€398000,Fraikinstraat 7,5,E,485,No,0,0,1323,48,4,1975,0,0,1,0,Yes,0,0,Fuel oil,10667242,2290
€165000,Rue Charles Dupret 13,2,D,283,0,0,0,250,0,2,0,0,0,1,0,0,0,Semi equipped,Gas,10667238,6250
€169000,Av. Henri Conscience 74,0,C,96,0,0,0,0,34,0,0,Good,0,0,1,0,1,0,0,10667237,1030
€280000,Avenue Louise 207/2,1,Not specified,Not specified,0,0,0,0,17,0,0,0,0,0,0,0,1,0,Gas,10667231,1190
€115000,Chaussée de wavre 29,3,E,425,0,0,0,55,0,2,0,Good,0,1,0,0,3,0,Gas,10667226,4500
€195000,Stationsstraat 71,5,F,772,No,Yes,0,400,0,2,0,To renovate,0,1,0,0,1,Installed,Gas,10125159,9980
€,Chaussée de Binche 30 b1,2,C,188,No,0,0,0,36,3,0,As new,0,0,0,0,1,Installed,Gas,10667225,7000
€498000,markt 9,4,E,482,No,Yes,0,1740,0,4,1991,Good,0,1,0,0,2,0,Fuel oil,10667224,9690
€498000,markt 9,4,E,482,No,Yes,0,1740,0,4,1991,Good,0,1,0,0,2,0,Fuel oil,10667223,9690
€409000,Kouter 98,3,Not specified,Not specified,No,Yes,0,270,0,3,2023,Good,0,1,0,0,2,0,0,10667222,9800
